제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,대분류,중분류,소분류,분류근거_키워드,분류신뢰도,출산양육관련여부,수집키워드,수집방식,제외사유,웹크롤링_상세본문,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,크롤링상태,HTTP상태,크롤링오류,보정필터_소스,검토메모
PROP-202224,서울형 키즈카페의 행정 편의주의적 운영 규정 개선 및 다자녀 가구 역차별 해소 촉구,서울형 키즈카페의 행정 편의주의적 운영 규정 개선 및 다자녀 가구 역차별 해소 촉구,2026-06-20,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202224,다자녀·양육비·생활지원,다자녀 혜택,다자녀 기준·할인·감면,다자녀,상,직접관련,다자녀,기존 1차 직접키워드 수집,,서울형 키즈카페의 행정 편의주의적 운영 규정 개선 및 다자녀 가구 역차별 해소 촉구,,,,,,,,,,,
PROP-202208,대중교통 임산부 배려석 뱃지 태그 시스템 도입,대중교통 임산부 배려석 뱃지 태그 시스템 도입,2026-06-19,2026,28.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202208,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,임산부,상,직접관련,임산부,기존 1차 직접키워드 수집,,대중교통 임산부 배려석 뱃지 태그 시스템 도입,,,,,,,,,,,
PROP-202191,지역아동센터앞 교통안전을 위해서 붉은색으로 도로 안전구역 표시 부탁드립니다.,지역아동센터앞 교통안전을 위해서 붉은색으로 도로 안전구역 표시 부탁드립니다.,2026-06-17,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202191,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 아동,중,조합관련,아동_안전환경: 안전 + 아동,2차 문맥조합 수집,,"안녕하세요.방과후교실에서 2026년 3월에 지역아동센터로 전환된 영성지역 아동센터 입니다.
도로가 급경사를 이룬곳도 많으며 이동 차량도 많습니다.
또한 우리센터 기준으로 100m 아래로 어린이집, 100m위쪽으로 청운복지관 노인시설,아동시설이 위치해 있습니다.
현재 도로에는 30km과 방지턱이 있으나 운전자들이 인지하기엔 다소 미흡니다.
그리고 주택가 인근이라서 주차된 차량으로 많이 표지판등이 가리워 졌습니다.그래서 6월초경 저희 센터 앞쪽에서 아동이
반대편쪽 엄마를 보고 톡 튀어 나가 사고가 났다는 소식을 들어, 우리에게도 일어날수 있다는 생각이 들어 아이들의 안전를 위해 서울시에서 도로에어린이 안전구역임을 표지해 주시기를 간절히 요청 합니다.꼭 부탁드립니다.",,,,,,,,,,,
PROP-202145,임산부 배려 뱃지 배포,임산부 배려 뱃지 배포,2026-06-10,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202145,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,임산부,상,직접관련,임산부,기존 1차 직접키워드 수집,,임산부 배려 뱃지 배포,,,,,,,,,,,
PROP-202127,서울시 신혼부부 이자지원 사업,서울시 신혼부부 이자지원 사업,2026-06-08,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202127,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신혼부부,상,직접관련,신혼부부,기존 1차 직접키워드 수집,,서울시 신혼부부 이자지원 사업,,,,,,,,,,,
PROP-202117,타 지자체 거주 다자녀 가구의 공영주차장 이용 감면 및 주차난 해소를 위한 정책 개선을 건의합니다.,타 지자체 거주 다자녀 가구의 공영주차장 이용 감면 및 주차난 해소를 위한 정책 개선을 건의합니다.,2026-06-07,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202117,다자녀·양육비·생활지원,다자녀 혜택,다자녀 기준·할인·감면,다자녀,상,직접관련,다자녀,기존 1차 직접키워드 수집,,타 지자체 거주 다자녀 가구의 공영주차장 이용 감면 및 주차난 해소를 위한 정책 개선을 건의합니다.,,,,,,,,,,,
PROP-202113,영유아쉼터나 유아휴게실,영유아쉼터나 유아휴게실,2026-06-05,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202113,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,영유아,상,직접관련,영유아,기존 1차 직접키워드 수집,,영유아쉼터나 유아휴게실,,,,,,,,,,,
PROP-202095,지하철 임산부석에 임산부 아닌 사람들이 앉지 못하도록 하는 공공 디자인 제안,지하철 임산부석에 임산부 아닌 사람들이 앉지 못하도록 하는 공공 디자인 제안,2026-06-04,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202095,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,임산부,상,직접관련,임산부,기존 1차 직접키워드 수집,,지하철 임산부석에 임산부 아닌 사람들이 앉지 못하도록 하는 공공 디자인 제안,,,,,,,,,,,
PROP-202066,신생아 특례대출 기간 늘려주세요,신생아 특례대출 기간 늘려주세요,2026-05-27,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202066,출산·산후 초기지원,출산가구 초기지원,출산지원금·출생축하,"신생아, 신생아 특례대출",상,직접관련,신생아,기존 1차 직접키워드 수집,,신생아 특례대출 기간 늘려주세요,,,,,,,,,,,
PROP-202014,서울특별시 신혼부부  임차보증금 대출 사업,서울특별시 신혼부부  임차보증금 대출 사업,2026-05-18,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=202014,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신혼부부,상,직접관련,신혼부부,기존 1차 직접키워드 수집,,서울특별시 신혼부부  임차보증금 대출 사업,,,,,,,,,,,
PROP-201995,어린이 보호구역내 인도의 표지판 기둥 하단 밝은 스티커 부착 제안,어린이 보호구역내 인도의 표지판 기둥 하단 밝은 스티커 부착 제안,2026-05-15,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201995,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,,"현황 및 문제점
어린이 보호구역내 인도의 각종 표지판 하단은 스덴으로 기둥이 되어 있어, 어린이 및 주민 식별 저하
* 특히 최근 어린이들 도보시 스마트폰을 보면서 이동하여 표지판에 사고를 당할수 있음.
개선방안
어린이 보호구역 인도내 표지판의 하단에 밝은 노랑 스티커 부착으로 보행자분들께서 야간에도 식별 가능하고, 주간에도 식별이 가능하도록 개선
기대효과
밝은 스티커 부착으로 운전자의 시야 확보, 어린이 보호구역내 사고위험 저하, 주민들의 인도 통행시 사물 확인 용이",,,,,,,,,,,
PROP-201933,저출생 대책이라면서요? 난자동결 지원사업의 '난소수치(AMH)' 기준 철폐를 강력히 촉구합니다.,저출생 대책이라면서요? 난자동결 지원사업의 '난소수치(AMH)' 기준 철폐를 강력히 촉구합니다.,2026-05-05,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201933,임신·난임·생식건강,난임 지원,난임시술·주사·시술비,출생,상,직접관련,출생,기존 1차 직접키워드 수집,,저출생 대책이라면서요? 난자동결 지원사업의 '난소수치(AMH)' 기준 철폐를 강력히 촉구합니다.,,,,,,,,,,,
PROP-201853,강남구보건소 예방접종 프로그램을  다른구 보건소에서 진행하게 해주세요,강남구보건소 예방접종 프로그램을  다른구 보건소에서 진행하게 해주세요,2026-04-17,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201853,보육·돌봄 인프라,아동 건강·의료 접근성,소아응급·야간진료·영유아검진,예방접종,상,직접관련,예방접종,확장 1차 생활키워드 수집,,"서울시에서 운영하는 다양한 시민 참여 정책에 감사드립니다.
저는 현재 강남구보건소에서 운영 중인 예방접종 관리 프로그램이 시민들에게 매우 유용한 서비스라고 생각합니다.  접종 안전성 측면에서 많은 도움이 되고 있어, 이러한 시스템이 다른구 보건소에도  확대되면 좋겠다는 생각이 들어 제안을 드립니다.
저는 오접종 경헙이 있었던 사람으로서. 강남구보건소에서 시행 중인 접종전에 확실하게 사고를 방지 할수 있고 체계적으로 관리할 수 있는 시스템이 서울 전역으로 확대된다면, 접종 오류를 줄이고 시민들의 신뢰를 높이는 데 큰 도움이 될 것으로 기대됩니다.
자치구별로 시민에서 제공하는 서비스가 틀리다는 부분이 좀 이해가 안가는 부분도 있습니다만
타 자치구에서도 충분히 도입 가능하다고 생각하며, 서울시 차원에서 검토해 주시기를 요청드립니다.
시민의 건강과 안전을 위한 정책에 항상 힘써주셔서 감사드리며, 본 제안이 긍정적으로 검토되기를 바랍니다.
감사합니다.",,,,,,,,,,,
PROP-201851,혼잡 버스 내 임산부 안전 확보위한 자동안내시스템 건의,혼잡 버스 내 임산부 안전 확보위한 자동안내시스템 건의,2026-04-16,2026,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201851,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,임산부,상,직접관련,임산부,기존 1차 직접키워드 수집,,혼잡 버스 내 임산부 안전 확보위한 자동안내시스템 건의,,,,,,,,,,,
PROP-201849,"아이들이 넘어지고 차가 부서지는 ""턱"" 대신, 기술이 있는 ""안전한 평면도로""를 제안합니다.","아이들이 넘어지고 차가 부서지는 ""턱"" 대신, 기술이 있는 ""안전한 평면도로""를 제안합니다.",2026-04-15,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201849,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전 + 아이,중,조합관련,아동_안전환경: 안전 + 아이,2차 문맥조합 수집,,"현황 및 문제점
현재 전국의 어린이 보호구역과 이면도로에 설치된 아스팔트 과속방지턱은 안전을 명분으로 설치되었으나, 실제로는 보행자(어린이·노인)의 낙상 사고, 차량 파손, 비산먼지 발생 등 수많은 부작용을 낳고 있습니다.
개선방안
턱 없는(Zero-Bump) 스마트 안전 구역
물리적으로 차를 멈추게 하는 시대는 지났습니다. 이제는 포장재의 혁신으로 스스로 서행하게 해야 합니다.
기술적 해결 (1등급 투수블록 활용): 특정 안전 구간 전체를 시인성이 높은 색상의 고성능 투수블록으로 포장합니다. 운전자는 시각적으로 ""특별 관리 구역""임을 즉각 인지하고 심리적으로 자연스러운 감속을 실천하게 됩니다.
감성적 서행 유도: 블록 포장 고유의 노면 질감을 활용하여 운전자에게 직관적인 주의를 환기시키며, 기존 과속방지턱의 고질적 문제였던, 차량 하부 간섭 및 긁힘과 파손을 근본적으로 제거하여 주행 안전성을 보장합니다. '턱' 없이도 속도를 줄이는 과학적이고 품격있는 방법입니다.
기후 위기 대응: 빗물을 100% 흡수하는 1등급 투수 기술은 도시 침수를 막고 열섬 현상을 해결합니다.
기대효과
국민 안전: 어린이·노인 낙상 사고 Zero화 및 차량 파손 민원 종결.
탄소 중립: 아스팔트 대비 탄소 배출 저감 및 도시 물순환 회복.",,,,,,,,,,,
PROP-201815,저출산 대책 역행하는 서울시 '난자동결 시술비 지원' 기준 강화(AMH 1.5 이하) 철회 요청,저출산 대책 역행하는 서울시 '난자동결 시술비 지원' 기준 강화(AMH 1.5 이하) 철회 요청,2026-04-09,2026,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201815,임신·난임·생식건강,난임 지원,난임시술·주사·시술비,출산,상,직접관련,출산,기존 1차 직접키워드 수집,,저출산 대책 역행하는 서울시 '난자동결 시술비 지원' 기준 강화(AMH 1.5 이하) 철회 요청,,,,,,,,,,,
PROP-201788,서울 시내버스 임산부/노약자 좌석 관련,서울 시내버스 임산부/노약자 좌석 관련,2026-04-07,2026,6.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201788,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,임산부,상,직접관련,임산부,기존 1차 직접키워드 수집,,서울 시내버스 임산부/노약자 좌석 관련,,,,,,,,,,,
PROP-201727,[시민규제발굴단] 자치구별 야간 보육 거점 기관 지정 의무화 및 접근성 강화,[시민규제발굴단] 자치구별 야간 보육 거점 기관 지정 의무화 및 접근성 강화,2026-03-29,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201727,보육·돌봄 인프라,어린이집·유치원,보육시설·유아교육,보육,상,직접관련,보육,기존 1차 직접키워드 수집,,[시민규제발굴단] 자치구별 야간 보육 거점 기관 지정 의무화 및 접근성 강화,,,,,,,,,,,
PROP-201726,[시민규제발굴단] 주말 특별보육 운영 시 행정 부담 완화로 보육 접근성 제고,[시민규제발굴단] 주말 특별보육 운영 시 행정 부담 완화로 보육 접근성 제고,2026-03-29,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201726,보육·돌봄 인프라,어린이집·유치원,보육시설·유아교육,보육,상,직접관련,보육,기존 1차 직접키워드 수집,,[시민규제발굴단] 주말 특별보육 운영 시 행정 부담 완화로 보육 접근성 제고,,,,,,,,,,,
PROP-201705,시간제보육 사전 예약없이 이용할 수 있게 해주세요,시간제보육 사전 예약없이 이용할 수 있게 해주세요,2026-03-25,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201705,보육·돌봄 인프라,어린이집·유치원,보육시설·유아교육,보육,상,직접관련,보육,기존 1차 직접키워드 수집,,시간제보육 사전 예약없이 이용할 수 있게 해주세요,,,,,,,,,,,
PROP-201657,지하철 임산부석 이용 방식 개선에 대한 시민 제안,지하철 임산부석 이용 방식 개선에 대한 시민 제안,2026-03-15,2026,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201657,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,임산부,상,직접관련,임산부,기존 1차 직접키워드 수집,,지하철 임산부석 이용 방식 개선에 대한 시민 제안,,,,,,,,,,,
PROP-201656,"[시민규제발굴단] 서울시 보육 격차 해소 : 거주지 벽을 넘는 ""보편적 보육 복지"" 실현을 위한 규제 혁신안","[시민규제발굴단] 서울시 보육 격차 해소 : 거주지 벽을 넘는 ""보편적 보육 복지"" 실현을 위한 규제 혁신안",2026-03-15,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201656,보육·돌봄 인프라,어린이집·유치원,보육시설·유아교육,보육,상,직접관련,보육,기존 1차 직접키워드 수집,,"[시민규제발굴단] 서울시 보육 격차 해소 : 거주지 벽을 넘는 ""보편적 보육 복지"" 실현을 위한 규제 혁신안",,,,,,,,,,,
PROP-201636,출산 가정 태극기 제공(신혼 부부 태극기 미수혜 가정 보완 + 국기 선양 연계),출산 가정 태극기 제공(신혼 부부 태극기 미수혜 가정 보완 + 국기 선양 연계),2026-03-12,2026,11.0,2,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201636,출산·산후 초기지원,출산가구 초기지원,출산지원금·출생축하,출산,상,직접관련,출산,기존 1차 직접키워드 수집,,출산 가정 태극기 제공(신혼 부부 태극기 미수혜 가정 보완 + 국기 선양 연계),,,,,,,,,,,
PROP-201635,차상위계층 신청 시 가구원 수 및 다자녀 여부를 고려한 차량 가액 기준 완화 제안,차상위계층 신청 시 가구원 수 및 다자녀 여부를 고려한 차량 가액 기준 완화 제안,2026-03-12,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201635,다자녀·양육비·생활지원,다자녀 혜택,다자녀 기준·할인·감면,다자녀,상,직접관련,다자녀,기존 1차 직접키워드 수집,,차상위계층 신청 시 가구원 수 및 다자녀 여부를 고려한 차량 가액 기준 완화 제안,,,,,,,,,,,
PROP-201627,교통약자 배려 문화 정착을 위한 '임산부석 스마트 알림 시스템' 도입 제안,교통약자 배려 문화 정착을 위한 '임산부석 스마트 알림 시스템' 도입 제안,2026-03-11,2026,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201627,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,임산부,상,직접관련,임산부,기존 1차 직접키워드 수집,,교통약자 배려 문화 정착을 위한 '임산부석 스마트 알림 시스템' 도입 제안,,,,,,,,,,,
PROP-201626,어린이 보호구역 차량단속,어린이 보호구역 차량단속,2026-03-11,2026,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201626,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,,"안녕하세요,
도봉구 방학동에 위치한 창도초등학교 정문과 대상 아파트 사이의 횡단보도로 많은 초등학
？
생들이
등하교를 하고 있습니다.
등하교길에 이 횡단보도에 많은 차량들이 꼬리물기 신호위반 / 불법정차 등을 너무 빈번하게 하고 있어
소중한 아이들의 안전이 매우 위태로운 상태 입니다.
특히 행단보도 위에 꼬리물기 하고 있는 차량을 피해 좁은 차사이로 조그만 아이들이 이리저리 피해가는
것을보면 아찔합니다.
몇년전부터 학교 ,구청, 경찰서에 상태의 심각성을 전달 하였지만 나아 지는것이 없습니다.
만일 심각한 사고라도 나면 누가 책임질 것이고 그때서야 조치를 취할것입니까?
경찰이나 학교 관계자들이 계도를 해봤자 통하질 않습니다.
위반 차량에 대해서는 무관용의 단속으로 과태료를 부과하여야 질서가 잡힐것입니다,
또한 지속적인 단속을 위해서 횡단보도 앞에 CCTV를 설치하여 불법주정차등 법규위반 차량을 감시하여
아이들의 안전을 지켜주십시오.
특히 새학기에는 더욱 철저하게 단속하여야 할 것입니다.
신속한 처리 부탁드립니다.",,,,,,,,,,,
PROP-201617,우리동네키움센터 보육횟수 증대 제안,우리동네키움센터 보육횟수 증대 제안,2026-03-10,2026,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201617,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,"보육, 키움센터",상,직접관련,보육,기존 1차 직접키워드 수집,,우리동네키움센터 보육횟수 증대 제안,,,,,,,,,,,
PROP-201610,[시민규제발굴단] 남자화장실에도 기저귀갈이대가 필요합니다.,[시민규제발굴단] 남자화장실에도 기저귀갈이대가 필요합니다.,2026-03-08,2026,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=201610,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,"기저귀갈이대, 기저귀",상,직접관련,기저귀갈이대,확장 1차 생활키워드 수집,,"여자화장실에는 접이식 기저귀 갈이대가 있습니다.
남자화장실에는 기저귀 갈이대가 없습니다.
현시대에는 엄마, 아빠 함께 육아를 하기 때문에
우유를 먹이거나 기저귀 가는 일에 아빠도 함께합니다.
그런데 현재 남자화장실에는 기저귀 갈이대가 없습니다.
아빠 혼자 육아를 하는 경우가 많아졌습니다.
남자화장실에도 기저귀갈이대가 설치되길 바랍니다.
여아를 남자화장실에서 기저귀 갈아주기는 조금 불편하므로 유아와 아빠와 함께 사용하는
화장실을 만들고
그 안에 접이식 기저귀 갈이대를
설치되길 바랍니다.
화장실 중에는 부모와 유아가 함께 사용하는 조금 큰 화장실이 있습니다.
아래 시군구 선택을 전체도 만들어주세요.",,,,,,,,,,,
